sampleID,sample_mass,buffer_mass,total_mass
0919A_H_NS,25.34,228.19,
0919A_H_B,26.82,227.19,
0919A_H_M,26.57,228.83,
0919A_H_E,25.34,228.51,
0919A_T_NS,25.38,226.42,
0919A_T_B,25.28,224.9,
0919A_T_M,25.28,228.72,
0919A_T_E,25.77,229.26,
0919A_V_NS,25.29,228.21,
0919A_V_B,25.75,225.3,
0919A_V_M,26.28,226.36,
0919A_V_E,25.95,226.93,
0919A_S_NS,25.1,238.05,
0919A_S_B,25.24,,250.74
0919A_S_M,25.2,,250.17
0919A_S_E,25.27,,262.6
0919A_W_B,25.16,,252.84
0919A_W_M,25.98,,253.88
0919A_W_E,25.11,,251.49
0919A_D_B,25.03,,252.13
0919A_D_M,25.1,,251.56
0919A_D_E,25.14,,253.81
0919A_B_D0,25.38,,250.47
0919A_M_D0,26.55,,254.02
0919A_E_D0,24.99,,252
0919A_B_D2,25.21,,250.3
0919A_M_D2,25.24,,257.31
0919A_E_D2,26.21,,257.45
0919A_B_D4,25.35,,253
0919A_M_D4,25.36,,252.01
0919A_E_D4,25.94,,253.84
0919A_B_D6,25.78,,261.97
0919A_M_D6,25.2,,254.47
0919A_E_D6,25.2,,256.22
0919A_B_D8,25.25,,250.35
0919A_M_D8,25.43,,257.06
0919A_E_D8,25.8,,253.99
0919A_B_D10,25.66,,249.3
0919A_M_D10,26.11,,254.69
0919A_E_D10,26.64,,259.61
0919A_B_D12,25.16,,256.93
0919A_M_D12,25.25,,252.58
0919A_E_D12,26.31,,257.21
0919A_B_D14,25.61,,250.8
0919A_M_D14,25.39,,253.58
0919A_E_D14,25.11,,252.16
0919A_B_D16,24.98,,252.23
0919A_M_D16,25.02,,254.03
0919A_E_D16,26.05,,253.25
0919A_B_D18,26.24,,257.98
0919A_M_D18,25.12,,250.29
0919A_E_D18,25.4,,251.93
0919A_B_D20,25.94,,250.26
0919A_M_D20,25.32,,251.03
0919A_E_D20,25.47,,251.65
