sampleID,test,date_plated,date_enumerated,plate_rep,dilution,raw_count,photoID,notes,
0919A_B_D0,APC,9/26/19,9/28/19,1,3,85,,,
0919A_B_D0,APC,9/26/19,9/28/19,2,3,85,,,
0919A_M_D0,APC,9/26/19,9/28/19,1,3,118,,,
0919A_M_D0,APC,9/26/19,9/28/19,2,3,106,,,
0919A_E_D0,APC,9/26/19,9/28/19,1,3,124,,,
0919A_E_D0,APC,9/26/19,9/28/19,2,3,153,,,
0919A_B_D2,APC,9/28/19,9/30/19,1,3,202,,,
0919A_B_D2,APC,9/28/19,9/30/19,2,3,168,,,
0919A_M_D2,APC,9/28/19,9/30/19,1,4,28,,,
0919A_M_D2,APC,9/28/19,9/30/19,2,4,30,,,
0919A_E_D2,APC,9/28/19,9/30/19,1,3,164,,,
0919A_E_D2,APC,9/28/19,9/30/19,2,3,157,,,
0919A_B_D4,APC,9/30/19,10/2/19,1,5,38,,,
0919A_B_D4,APC,9/30/19,10/2/19,2,5,40,,,
0919A_M_D4,APC,9/30/19,10/2/19,1,4,233,,,
0919A_M_D4,APC,9/30/19,10/2/19,2,4,226,,,
0919A_E_D4,APC,9/30/19,10/2/19,1,5,53,,,
0919A_E_D4,APC,9/30/19,10/2/19,2,5,43,,,
0919A_B_D6,APC,10/2/19,10/4/19,1,5,93,,,
0919A_B_D6,APC,10/2/19,10/4/19,2,5,103,,,
0919A_M_D6,APC,10/2/19,10/4/19,1,6,42,,,
0919A_M_D6,APC,10/2/19,10/4/19,2,6,61,,,
0919A_E_D6,APC,10/2/19,10/4/19,1,5,25,,,
0919A_E_D6,APC,10/2/19,10/4/19,2,5,41,,,
0919A_B_D8,APC,10/4/19,10/6/19,1,6,132,,,
0919A_B_D8,APC,10/4/19,10/6/19,2,6,103,,,
0919A_M_D8,APC,10/4/19,10/6/19,1,6,46,,,
0919A_M_D8,APC,10/4/19,10/6/19,2,6,53,,,
0919A_E_D8,APC,10/4/19,10/6/19,1,6,69,,,
0919A_E_D8,APC,10/4/19,10/6/19,2,6,60,,,
0919A_B_D10,APC,10/6/19,10/8/19,1,6,159,,,
0919A_B_D10,APC,10/6/19,10/8/19,2,6,175,,,
0919A_M_D10,APC,10/6/19,10/8/19,1,6,82,,,
0919A_M_D10,APC,10/6/19,10/8/19,2,6,98,,,
0919A_E_D10,APC,10/6/19,10/8/19,1,6,161,,,
0919A_E_D10,APC,10/6/19,10/8/19,2,6,193,,,
0919A_B_D12,APC,10/8/19,10/10/19,1,6,296,,,
0919A_B_D12,APC,10/8/19,10/10/19,2,6,333,,,
0919A_M_D12,APC,10/8/19,10/10/19,1,6,134,,,
0919A_M_D12,APC,10/8/19,10/10/19,2,6,110,,,
0919A_E_D12,APC,10/8/19,10/10/19,1,6,115,,,
0919A_E_D12,APC,10/8/19,10/10/19,2,6,108,,,
0919A_B_D14,APC,10/10/19,10/12/19,1,7,46,,,
0919A_B_D14,APC,10/10/19,10/12/19,2,7,46,,,
0919A_M_D14,APC,10/10/19,10/12/19,1,6,79,,,
0919A_M_D14,APC,10/10/19,10/12/19,2,6,106,,,
0919A_E_D14,APC,10/10/19,10/12/19,1,7,46,,,
0919A_E_D14,APC,10/10/19,10/12/19,2,7,47,,,
0919A_B_D16,APC,10/12/19,10/14/19,1,7,59,,,
0919A_B_D16,APC,10/12/19,10/14/19,2,7,63,,,
0919A_M_D16,APC,10/12/19,10/14/19,1,6,236,,,
0919A_M_D16,APC,10/12/19,10/14/19,2,6,219,,,
