"qseqid","subject.titles","Previous.ID"
"M9-0535","Pantoea anthophila (T); LMG 2558; EF688010","0919A-B-D0-GNCV-1"
"M9-0536","Pseudomonas guariconensis (T); PCAVU11; HF674459","0919A-B-D0-GNCV-2"
"M9-0537","Erwinia aphidicola (T); NBRC 102417; AB681773","0919A-B-D0-GNCV-3"
"M9-0538","Pantoea anthophila (T); LMG 2558; EF688010","0919A-B-D0-GNCV-4"
"M9-0539","Cedecea davisae (T); DSM 4568; AF493976","0919A-B-D0-GNCV-5"
"M9-0540","Pantoea anthophila (T); LMG 2558; EF688010","0919A-M-D0-GNCV-1"
"M9-0541","Pseudomonas baetica (T); a390; FM201274","0919A-M-D0-GNCV-2"
"M9-0542","Pseudomonas viridiflava (T); CECT 458; AY180972","0919A-M-D0-GNCV-3"
"M9-0546","Pseudomonas poae (T); type strain: DSM 14936 = LMG 21465; P 527/13; AJ492829","0919A-E-D0-GNCV-1"
"M9-0547","Pseudomonas psychrotolerans (T); type strain: C36; AJ575816","0919A-E-D0-GNCV-2"
"M9-0548","Erwinia aphidicola (T); NBRC 102417; AB681773","0919A-E-D0-GNCV-3"
"M9-0549","Erwinia aphidicola (T); NBRC 102417; AB681773","0919A-E-D0-GNCV-4"
"M9-0550","Pseudomonas baetica (T); a390; FM201274","0919A-E-D0-GNCV-5"
"M9-0552","Exiguobacterium acetylicum (T); DSM 20416; DQ019167","0919A-B-D4-B24-1"
"M9-0553","Pseudomonas baetica (T); a390; FM201274","0919A-B-D4-B24-2"
"M9-0554","Pseudomonas baetica (T); a390; FM201274","0919A-B-D4-B24-3"
"M9-0555","Pantoea anthophila (T); LMG 2558; EF688010","0919A-M-D4-B24-1"
"M9-0556","Pseudomonas baetica (T); a390; FM201274","0919A-M-D4-B24-2"
"M9-0557","Pantoea agglomerans (T); DSM 3493; AJ233423","0919A-E-D4-B24-1"
"M9-0558","Pseudomonas rhodesiae (T); CIP 104664; AF064459","0919A-E-D4-B24-2"
"M9-0559","Exiguobacterium acetylicum (T); DSM 20416; DQ019167","0919A-B-D0-APC-1"
"M9-0560","Pantoea anthophila (T); LMG 2558; EF688010","0919A-B-D0-APC-2"
"M9-0563","Exiguobacterium acetylicum (T); DSM 20416; DQ019167","0919A-M-D0-APC-1"
"M9-0564","Pantoea agglomerans (T); DSM 3493; AJ233423","0919A-M-D0-APC-2"
"M9-0565","Pantoea agglomerans (T); DSM 3493; AJ233423","0919A-M-D0-APC-3"
"M9-0572","Pantoea agglomerans (T); DSM 3493; AJ233423","0919A-B-D0-GN-2"
"M9-0580","Pantoea vagans (T); LMG 24199; EF688012","0919A-E-D0-GN-2"
"M9-0581","Pantoea agglomerans (T); DSM 3493; AJ233423","0919A-E-D0-GN-3"
"M9-0583","Pantoea vagans (T); LMG 24199; EF688012","0919A-E-D4-B24-3"
"M9-0584","Pseudomonas baetica (T); a390; FM201274","0919A-B-D10-B24-1"
"M9-0585","Pantoea deleyi (T); LMG 24200; EF688011","0919A-B-D10-B24-2"
"M9-0588","Pseudomonas rhodesiae (T); CIP 104664; AF064459","0919A-M-D10-B24-1"
"M9-0589","Exiguobacterium acetylicum (T); DSM 20416; DQ019167","0919A-M-D10-B24-2"
"M9-0590","Exiguobacterium sibiricum (T); 255-15; CP001022","0919A-M-D10-B24-3"
"M9-0591","Erwinia persicina (T); LMG 11254; Z96086","0919A-M-D10-B24-4"
"M9-0593","Lelliottia amnigena (T); JCM1237; AB004749","0919A-E-D10-B24-1"
"M9-0594","Pseudomonas baetica (T); a390; FM201274","0919A-E-D10-B24-2"
"M9-0595","Exiguobacterium sibiricum (T); 255-15; CP001022","0919A-E-D10-B24-3"
"M9-0596","Pantoea agglomerans (T); DSM 3493; AJ233423","0919A-E-D10-B24-4"
"M9-0597","Pseudomonas baetica (T); a390; FM201274","0919A-E-D10-B24-5"
"M9-0598","Pantoea agglomerans (T); DSM 3493; AJ233423","0919A-B-D20-B24-1"
"M9-0599","Pseudomonas rhodesiae (T); CIP 104664; AF064459","0919A-B-D20-B24-2"
"M9-0602","Pseudomonas rhodesiae (T); CIP 104664; AF064459","0919A-M-D20-B24-2"
"M9-0603","Pantoea anthophila (T); LMG 2558; EF688010","0919A-M-D20-B24-3"
"M9-0604","Pantoea agglomerans (T); DSM 3493; AJ233423","0919A-M-D20-B24-4"
"M9-0605","Pantoea agglomerans (T); DSM 3493; AJ233423","0919A-E-D20-B24-1"
"M9-0606","Pseudomonas rhodesiae (T); CIP 104664; AF064459","0919A-E-D20-B24-2"
"M9-0607","Ewingella americana (T); CIP 81.94; JN175329","0919A-E-D20-B24-3"
"M9-0608","Pseudomonas baetica (T); a390; FM201274","0919A-B-D0-PC-2"
"M9-0610","Pantoea agglomerans (T); DSM 3493; AJ233423","0919A-M-D0-PC-1"
"M9-0617","Pseudomonas baetica (T); a390; FM201274","0919A-B-D4-APC-3"
"M9-0623","Pseudomonas gessardii (T); CIP 105469; AF074384","0919A-B-D4-PC-3"
"M9-0628","Pseudomonas baetica (T); a390; FM201274","0919A-M-D4-APC-4"
"M9-0630","Pantoea anthophila (T); LMG 2558; EF688010","0919A-M-D4-GN-3"
"M9-0632","Pseudomonas baetica (T); a390; FM201274","0919A-M-D4-PC-1"
"M9-0634","Pseudomonas orientalis (T); CFML 96-170; AF064457","0919A-M-D4-PC-4"
"M9-0636","Pseudomonas rhodesiae (T); CIP 104664; AF064459","0919A-E-D4-APC-1"
"M9-0641","Pseudomonas rhodesiae (T); CIP 104664; AF064459","0919A-E-D4-PC-1"
"M9-0645","Pseudomonas baetica (T); a390; FM201274","0919A-B-D10-APC-1"
"M9-0646","Pseudomonas rhodesiae (T); CIP 104664; AF064459","0919A-B-D10-APC-2"
"M9-0651","Pseudomonas rhodesiae (T); CIP 104664; AF064459","0919A-M-D10-APC-2"
"S12-0004","Pseudomonas fragi (T); ATCC 4973; AF094733","0919A-M-D10-GNCV-4"
"S12-0005","Pseudomonas baetica (T); a390; FM201274","0919A-M-D10-APC-1"
"S12-0007","Pseudomonas rhodesiae (T); CIP 104664; AF064459","0919A-E-D10-GN-3"
"S12-0011","Pantoea anthophila (T); LMG 2558; EF688010","0919A-E-D10-GNCV-4"
"S12-0014","Pseudomonas rhodesiae (T); CIP 104664; AF064459","0919A-M-D4-GNCV-4"
"S12-0015","Pseudomonas poae (T); type strain: DSM 14936 = LMG 21465; P 527/13; AJ492829","0919A-E-D4-PC-4"
"S12-0016","Pseudomonas rhodesiae (T); CIP 104664; AF064459","0919A-E-D4-GNCV-4"
"S12-0019","Pantoea anthophila (T); LMG 2558; EF688010","0919A-E-D4-GN-1"
"S12-0020","Pantoea agglomerans (T); DSM 3493; AJ233423","0919A-M-D4-GNCV-1"
"S12-0024","Pantoea agglomerans (T); DSM 3493; AJ233423","0919A-B-D4-GN-3"
"S12-0025","Exiguobacterium acetylicum (T); DSM 20416; DQ019167","0919A-M-D0-PC-4"
"S12-0037","Pseudomonas baetica (T); a390; FM201274","0919A-B-D10-PC-3"
"S12-0048","Pseudomonas baetica (T); a390; FM201274","0919A-B-D10-GN-4"
"S12-0051","Pseudomonas poae (T); type strain: DSM 14936 = LMG 21465; P 527/13; AJ492829","0919A-B-D20-APC-1"
"S12-0060","Pseudomonas rhodesiae (T); CIP 104664; AF064459","0919A-M-D20-APC-2"
